step,D_act,excess_delay,t_0,eta_0,eta_1,eta_2,eta_3,eta_4,eta_5
0,0.155019,-0.044981,0.2,0.7,0.7,0.7,0.7,0.7,0.7
1,0.144814,-0.055186,0.2,0.7,0.7,0.7,0.7,0.7,0.7
2,0.155614,-0.044386,0.2,0.7,0.7,0.7,0.7,0.7,0.7
3,0.150786,-0.049214,0.2,0.7,0.7,0.7,0.7,0.7,0.7
4,0.153467,-0.046533,0.2,0.7,0.7,0.7,0.7,0.7,0.7
5,0.150514,-0.049486,0.2,0.7,0.7,0.7,0.7,0.7,0.7
6,0.148578,-0.051422,0.2,0.7,0.7,0.7,0.7,0.7,0.7
7,0.151785,-0.048215,0.2,0.7,0.7,0.7,0.7,0.7,0.7
8,0.156073,-0.043927,0.2,0.7,0.7,0.7,0.7,0.7,0.7
9,0.148179,-0.051821,0.2,0.7,0.7,0.7,0.7,0.7,0.7
10,0.147496,-0.052504,0.2,0.7,0.7,0.7,0.7,0.7,0.7
11,0.147092,-0.052908,0.2,0.7,0.7,0.7,0.7,0.7,0.7
12,0.152233,-0.047767,0.2,0.7,0.7,0.7,0.7,0.7,0.7
13,0.151385,-0.048615,0.2,0.7,0.7,0.7,0.7,0.7,0.7
14,0.156196,-0.043804,0.2,0.7,0.7,0.7,0.7,0.7,0.7
15,0.148088,-0.051912,0.2,0.7,0.7,0.7,0.7,0.7,0.7
16,0.144372,-0.055628,0.2,0.7,0.7,0.7,0.7,0.7,0.7
17,0.147681,-0.052319,0.2,0.7,0.7,0.7,0.7,0.7,0.7
18,0.151921,-0.048079,0.2,0.7,0.7,0.7,0.7,0.7,0.7
19,0.153906,-0.046094,0.2,0.7,0.7,0.7,0.7,0.7,0.7
20,0.149456,-0.050544,0.2,0.7,0.7,0.7,0.7,0.7,0.7
21,0.15154,-0.04846,0.2,0.7,0.7,0.7,0.7,0.7,0.7
22,0.144742,-0.055258,0.2,0.7,0.7,0.7,0.7,0.7,0.7
23,0.145474,-0.054526,0.2,0.7,0.7,0.7,0.7,0.7,0.7
24,0.149998,-0.050002,0.2,0.7,0.7,0.7,0.7,0.7,0.7
25,0.154877,-0.045123,0.2,0.7,0.7,0.7,0.7,0.7,0.7
26,0.148069,-0.051931,0.2,0.7,0.7,0.7,0.7,0.7,0.7
27,0.15081,-0.04919,0.2,0.7,0.7,0.7,0.7,0.7,0.7
28,0.155587,-0.044413,0.2,0.7,0.7,0.7,0.7,0.7,0.7
29,0.153481,-0.046519,0.2,0.7,0.7,0.7,0.7,0.7,0.7
