step,D_act,excess_delay,t_0,eta_0,eta_1,eta_2,eta_3,eta_4,eta_5
0,0.115702,-0.084298,0.2,0.4,0.4,0.4,0.4,0.4,0.4
1,0.114904,-0.085096,0.2,0.4,0.4,0.4,0.4,0.4,0.4
2,0.111252,-0.088748,0.2,0.4,0.4,0.4,0.4,0.4,0.4
3,0.109684,-0.090316,0.2,0.4,0.4,0.4,0.4,0.4,0.4
4,0.11376,-0.08624,0.2,0.4,0.4,0.4,0.4,0.4,0.4
5,0.116562,-0.083438,0.2,0.4,0.4,0.4,0.4,0.4,0.4
6,0.11229,-0.08771,0.2,0.4,0.4,0.4,0.4,0.4,0.4
7,0.108798,-0.091202,0.2,0.4,0.4,0.4,0.4,0.4,0.4
8,0.112783,-0.087217,0.2,0.4,0.4,0.4,0.4,0.4,0.4
9,0.114399,-0.085601,0.2,0.4,0.4,0.4,0.4,0.4,0.4
10,0.116121,-0.083879,0.2,0.4,0.4,0.4,0.4,0.4,0.4
11,0.108033,-0.091967,0.2,0.4,0.4,0.4,0.4,0.4,0.4
12,0.110619,-0.089381,0.2,0.4,0.4,0.4,0.4,0.4,0.4
13,0.113806,-0.086194,0.2,0.4,0.4,0.4,0.4,0.4,0.4
14,0.113788,-0.086212,0.2,0.4,0.4,0.4,0.4,0.4,0.4
15,0.115177,-0.084823,0.2,0.4,0.4,0.4,0.4,0.4,0.4
16,0.113542,-0.086458,0.2,0.4,0.4,0.4,0.4,0.4,0.4
17,0.115324,-0.084676,0.2,0.4,0.4,0.4,0.4,0.4,0.4
18,0.115247,-0.084753,0.2,0.4,0.4,0.4,0.4,0.4,0.4
19,0.113906,-0.086094,0.2,0.4,0.4,0.4,0.4,0.4,0.4
20,0.112518,-0.087482,0.2,0.4,0.4,0.4,0.4,0.4,0.4
21,0.11258,-0.08742,0.2,0.4,0.4,0.4,0.4,0.4,0.4
22,0.109687,-0.090313,0.2,0.4,0.4,0.4,0.4,0.4,0.4
23,0.109605,-0.090395,0.2,0.4,0.4,0.4,0.4,0.4,0.4
24,0.108982,-0.091018,0.2,0.4,0.4,0.4,0.4,0.4,0.4
25,0.111021,-0.088979,0.2,0.4,0.4,0.4,0.4,0.4,0.4
26,0.110228,-0.089772,0.2,0.4,0.4,0.4,0.4,0.4,0.4
27,0.110015,-0.089985,0.2,0.4,0.4,0.4,0.4,0.4,0.4
28,0.115921,-0.084079,0.2,0.4,0.4,0.4,0.4,0.4,0.4
29,0.109935,-0.090065,0.2,0.4,0.4,0.4,0.4,0.4,0.4
