step,D_act,excess_delay,t_0,eta_0,eta_1,eta_2,eta_3,eta_4,eta_5
0,0.21888,0.01888,0.2,0.8,0.8,0.8,0.8,0.8,0.8
1,0.22064,0.02064,0.2,0.8,0.8,0.8,0.8,0.8,0.8
2,0.225701,0.025701,0.2,0.8,0.8,0.8,0.8,0.8,0.8
3,0.226927,0.026927,0.2,0.8,0.8,0.8,0.8,0.8,0.8
4,0.226802,0.026802,0.2,0.8,0.8,0.8,0.8,0.8,0.8
5,0.222822,0.022822,0.2,0.8,0.8,0.8,0.8,0.8,0.8
6,0.216975,0.016975,0.2,0.8,0.8,0.8,0.8,0.8,0.8
7,0.225243,0.025243,0.2,0.8,0.8,0.8,0.8,0.8,0.8
8,0.217396,0.017396,0.2,0.8,0.8,0.8,0.8,0.8,0.8
9,0.211958,0.011958,0.2,0.8,0.8,0.8,0.8,0.8,0.8
10,0.218807,0.018807,0.2,0.8,0.8,0.8,0.8,0.8,0.8
11,0.21429,0.01429,0.2,0.8,0.8,0.8,0.8,0.8,0.8
12,0.219502,0.019502,0.2,0.8,0.8,0.8,0.8,0.8,0.8
13,0.21346,0.01346,0.2,0.8,0.8,0.8,0.8,0.8,0.8
14,0.215656,0.015656,0.2,0.8,0.8,0.8,0.8,0.8,0.8
15,0.22887,0.02887,0.2,0.8,0.8,0.8,0.8,0.8,0.8
16,0.212582,0.012582,0.2,0.8,0.8,0.8,0.8,0.8,0.8
17,0.225271,0.025271,0.2,0.8,0.8,0.8,0.8,0.8,0.8
18,0.214068,0.014068,0.2,0.8,0.8,0.8,0.8,0.8,0.8
19,0.214939,0.014939,0.2,0.8,0.8,0.8,0.8,0.8,0.8
20,0.219676,0.019676,0.2,0.8,0.8,0.8,0.8,0.8,0.8
21,0.219914,0.019914,0.2,0.8,0.8,0.8,0.8,0.8,0.8
22,0.215766,0.015766,0.2,0.8,0.8,0.8,0.8,0.8,0.8
23,0.220507,0.020507,0.2,0.8,0.8,0.8,0.8,0.8,0.8
24,0.22284,0.02284,0.2,0.8,0.8,0.8,0.8,0.8,0.8
25,0.224118,0.024118,0.2,0.8,0.8,0.8,0.8,0.8,0.8
26,0.226096,0.026096,0.2,0.8,0.8,0.8,0.8,0.8,0.8
27,0.220398,0.020398,0.2,0.8,0.8,0.8,0.8,0.8,0.8
28,0.22743,0.02743,0.2,0.8,0.8,0.8,0.8,0.8,0.8
29,0.214143,0.014143,0.2,0.8,0.8,0.8,0.8,0.8,0.8
