step,D_act,excess_delay,t_0,eta_0,eta_1,eta_2,eta_3,eta_4,eta_5
0,0.078548,-0.121452,0.2,0.1,0.1,0.1,0.1,0.1,0.1
1,0.081846,-0.118154,0.2,0.1,0.1,0.1,0.1,0.1,0.1
2,0.079669,-0.120331,0.2,0.1,0.1,0.1,0.1,0.1,0.1
3,0.082979,-0.117021,0.2,0.1,0.1,0.1,0.1,0.1,0.1
4,0.08225,-0.11775,0.2,0.1,0.1,0.1,0.1,0.1,0.1
5,0.07687,-0.12313,0.2,0.1,0.1,0.1,0.1,0.1,0.1
6,0.078455,-0.121545,0.2,0.1,0.1,0.1,0.1,0.1,0.1
7,0.078946,-0.121054,0.2,0.1,0.1,0.1,0.1,0.1,0.1
8,0.080927,-0.119073,0.2,0.1,0.1,0.1,0.1,0.1,0.1
9,0.082144,-0.117856,0.2,0.1,0.1,0.1,0.1,0.1,0.1
10,0.078831,-0.121169,0.2,0.1,0.1,0.1,0.1,0.1,0.1
11,0.083039,-0.116961,0.2,0.1,0.1,0.1,0.1,0.1,0.1
12,0.081764,-0.118236,0.2,0.1,0.1,0.1,0.1,0.1,0.1
13,0.08089,-0.11911,0.2,0.1,0.1,0.1,0.1,0.1,0.1
14,0.08093,-0.11907,0.2,0.1,0.1,0.1,0.1,0.1,0.1
15,0.078075,-0.121925,0.2,0.1,0.1,0.1,0.1,0.1,0.1
16,0.079901,-0.120099,0.2,0.1,0.1,0.1,0.1,0.1,0.1
17,0.080682,-0.119318,0.2,0.1,0.1,0.1,0.1,0.1,0.1
18,0.081218,-0.118782,0.2,0.1,0.1,0.1,0.1,0.1,0.1
19,0.079524,-0.120476,0.2,0.1,0.1,0.1,0.1,0.1,0.1
20,0.077512,-0.122488,0.2,0.1,0.1,0.1,0.1,0.1,0.1
21,0.080241,-0.119759,0.2,0.1,0.1,0.1,0.1,0.1,0.1
22,0.082888,-0.117112,0.2,0.1,0.1,0.1,0.1,0.1,0.1
23,0.082413,-0.117587,0.2,0.1,0.1,0.1,0.1,0.1,0.1
24,0.077787,-0.122213,0.2,0.1,0.1,0.1,0.1,0.1,0.1
25,0.079415,-0.120585,0.2,0.1,0.1,0.1,0.1,0.1,0.1
26,0.082548,-0.117452,0.2,0.1,0.1,0.1,0.1,0.1,0.1
27,0.079752,-0.120248,0.2,0.1,0.1,0.1,0.1,0.1,0.1
28,0.077467,-0.122533,0.2,0.1,0.1,0.1,0.1,0.1,0.1
29,0.079021,-0.120979,0.2,0.1,0.1,0.1,0.1,0.1,0.1
