step,D_act,excess_delay,t_0,eta_0,eta_1,eta_2,eta_3,eta_4,eta_5
0,0.122233,-0.077767,0.2,0.3,0.3,0.3,0.3,0.3,0.3
1,0.118213,-0.081787,0.2,0.3,0.3,0.3,0.3,0.3,0.3
2,0.120467,-0.079533,0.2,0.3,0.3,0.3,0.3,0.3,0.3
3,0.115416,-0.084584,0.2,0.3,0.3,0.3,0.3,0.3,0.3
4,0.120486,-0.079514,0.2,0.3,0.3,0.3,0.3,0.3,0.3
5,0.120361,-0.079639,0.2,0.3,0.3,0.3,0.3,0.3,0.3
6,0.118804,-0.081196,0.2,0.3,0.3,0.3,0.3,0.3,0.3
7,0.11818,-0.08182,0.2,0.3,0.3,0.3,0.3,0.3,0.3
8,0.117613,-0.082387,0.2,0.3,0.3,0.3,0.3,0.3,0.3
9,0.118433,-0.081567,0.2,0.3,0.3,0.3,0.3,0.3,0.3
10,0.116313,-0.083687,0.2,0.3,0.3,0.3,0.3,0.3,0.3
11,0.117363,-0.082637,0.2,0.3,0.3,0.3,0.3,0.3,0.3
12,0.121793,-0.078207,0.2,0.3,0.3,0.3,0.3,0.3,0.3
13,0.122632,-0.077368,0.2,0.3,0.3,0.3,0.3,0.3,0.3
14,0.117948,-0.082052,0.2,0.3,0.3,0.3,0.3,0.3,0.3
15,0.124883,-0.075117,0.2,0.3,0.3,0.3,0.3,0.3,0.3
16,0.124296,-0.075704,0.2,0.3,0.3,0.3,0.3,0.3,0.3
17,0.121587,-0.078413,0.2,0.3,0.3,0.3,0.3,0.3,0.3
18,0.121124,-0.078876,0.2,0.3,0.3,0.3,0.3,0.3,0.3
19,0.122915,-0.077085,0.2,0.3,0.3,0.3,0.3,0.3,0.3
20,0.120399,-0.079601,0.2,0.3,0.3,0.3,0.3,0.3,0.3
21,0.120313,-0.079687,0.2,0.3,0.3,0.3,0.3,0.3,0.3
22,0.123453,-0.076547,0.2,0.3,0.3,0.3,0.3,0.3,0.3
23,0.11886,-0.08114,0.2,0.3,0.3,0.3,0.3,0.3,0.3
24,0.121035,-0.078965,0.2,0.3,0.3,0.3,0.3,0.3,0.3
25,0.115361,-0.084639,0.2,0.3,0.3,0.3,0.3,0.3,0.3
26,0.123123,-0.076877,0.2,0.3,0.3,0.3,0.3,0.3,0.3
27,0.116267,-0.083733,0.2,0.3,0.3,0.3,0.3,0.3,0.3
28,0.120994,-0.079006,0.2,0.3,0.3,0.3,0.3,0.3,0.3
29,0.119008,-0.080992,0.2,0.3,0.3,0.3,0.3,0.3,0.3
