step,D_act,excess_delay,t_0,eta_0,eta_1,eta_2,eta_3,eta_4,eta_5
0,0.283476,0.083476,0.2,0.9,0.9,0.9,0.9,0.9,0.9
1,0.282584,0.082584,0.2,0.9,0.9,0.9,0.9,0.9,0.9
2,0.277324,0.077324,0.2,0.9,0.9,0.9,0.9,0.9,0.9
3,0.2871,0.0871,0.2,0.9,0.9,0.9,0.9,0.9,0.9
4,0.278031,0.078031,0.2,0.9,0.9,0.9,0.9,0.9,0.9
5,0.277429,0.077429,0.2,0.9,0.9,0.9,0.9,0.9,0.9
6,0.284162,0.084162,0.2,0.9,0.9,0.9,0.9,0.9,0.9
7,0.283133,0.083133,0.2,0.9,0.9,0.9,0.9,0.9,0.9
8,0.290129,0.090129,0.2,0.9,0.9,0.9,0.9,0.9,0.9
9,0.292116,0.092116,0.2,0.9,0.9,0.9,0.9,0.9,0.9
10,0.289581,0.089581,0.2,0.9,0.9,0.9,0.9,0.9,0.9
11,0.29394,0.09394,0.2,0.9,0.9,0.9,0.9,0.9,0.9
12,0.2933,0.0933,0.2,0.9,0.9,0.9,0.9,0.9,0.9
13,0.274347,0.074347,0.2,0.9,0.9,0.9,0.9,0.9,0.9
14,0.29027,0.09027,0.2,0.9,0.9,0.9,0.9,0.9,0.9
15,0.292439,0.092439,0.2,0.9,0.9,0.9,0.9,0.9,0.9
16,0.283584,0.083584,0.2,0.9,0.9,0.9,0.9,0.9,0.9
17,0.291579,0.091579,0.2,0.9,0.9,0.9,0.9,0.9,0.9
18,0.2858,0.0858,0.2,0.9,0.9,0.9,0.9,0.9,0.9
19,0.280386,0.080386,0.2,0.9,0.9,0.9,0.9,0.9,0.9
20,0.292455,0.092455,0.2,0.9,0.9,0.9,0.9,0.9,0.9
21,0.284865,0.084865,0.2,0.9,0.9,0.9,0.9,0.9,0.9
22,0.294826,0.094826,0.2,0.9,0.9,0.9,0.9,0.9,0.9
23,0.278012,0.078012,0.2,0.9,0.9,0.9,0.9,0.9,0.9
24,0.284248,0.084248,0.2,0.9,0.9,0.9,0.9,0.9,0.9
25,0.290672,0.090672,0.2,0.9,0.9,0.9,0.9,0.9,0.9
26,0.277412,0.077412,0.2,0.9,0.9,0.9,0.9,0.9,0.9
27,0.276548,0.076548,0.2,0.9,0.9,0.9,0.9,0.9,0.9
28,0.275188,0.075188,0.2,0.9,0.9,0.9,0.9,0.9,0.9
29,0.296591,0.096591,0.2,0.9,0.9,0.9,0.9,0.9,0.9
