step,D_act,excess_delay,t_0,eta_0,eta_1,eta_2,eta_3,eta_4,eta_5
0,0.129707,-0.070293,0.2,0.5,0.5,0.5,0.5,0.5,0.5
1,0.126889,-0.073111,0.2,0.5,0.5,0.5,0.5,0.5,0.5
2,0.124109,-0.075891,0.2,0.5,0.5,0.5,0.5,0.5,0.5
3,0.127492,-0.072508,0.2,0.5,0.5,0.5,0.5,0.5,0.5
4,0.12973,-0.07027,0.2,0.5,0.5,0.5,0.5,0.5,0.5
5,0.120636,-0.079364,0.2,0.5,0.5,0.5,0.5,0.5,0.5
6,0.120229,-0.079771,0.2,0.5,0.5,0.5,0.5,0.5,0.5
7,0.125347,-0.074653,0.2,0.5,0.5,0.5,0.5,0.5,0.5
8,0.126551,-0.073449,0.2,0.5,0.5,0.5,0.5,0.5,0.5
9,0.128828,-0.071172,0.2,0.5,0.5,0.5,0.5,0.5,0.5
10,0.126822,-0.073178,0.2,0.5,0.5,0.5,0.5,0.5,0.5
11,0.124812,-0.075188,0.2,0.5,0.5,0.5,0.5,0.5,0.5
12,0.123714,-0.076286,0.2,0.5,0.5,0.5,0.5,0.5,0.5
13,0.128553,-0.071447,0.2,0.5,0.5,0.5,0.5,0.5,0.5
14,0.129802,-0.070198,0.2,0.5,0.5,0.5,0.5,0.5,0.5
15,0.122574,-0.077426,0.2,0.5,0.5,0.5,0.5,0.5,0.5
16,0.126022,-0.073978,0.2,0.5,0.5,0.5,0.5,0.5,0.5
17,0.121912,-0.078088,0.2,0.5,0.5,0.5,0.5,0.5,0.5
18,0.124595,-0.075405,0.2,0.5,0.5,0.5,0.5,0.5,0.5
19,0.124488,-0.075512,0.2,0.5,0.5,0.5,0.5,0.5,0.5
20,0.129597,-0.070403,0.2,0.5,0.5,0.5,0.5,0.5,0.5
21,0.122696,-0.077304,0.2,0.5,0.5,0.5,0.5,0.5,0.5
22,0.123051,-0.076949,0.2,0.5,0.5,0.5,0.5,0.5,0.5
23,0.120787,-0.079213,0.2,0.5,0.5,0.5,0.5,0.5,0.5
24,0.128596,-0.071404,0.2,0.5,0.5,0.5,0.5,0.5,0.5
25,0.123366,-0.076634,0.2,0.5,0.5,0.5,0.5,0.5,0.5
26,0.123418,-0.076582,0.2,0.5,0.5,0.5,0.5,0.5,0.5
27,0.128345,-0.071655,0.2,0.5,0.5,0.5,0.5,0.5,0.5
28,0.120919,-0.079081,0.2,0.5,0.5,0.5,0.5,0.5,0.5
29,0.12485,-0.07515,0.2,0.5,0.5,0.5,0.5,0.5,0.5
