step,D_act,excess_delay,t_0,eta_0,eta_1,eta_2,eta_3,eta_4,eta_5
0,0.156575,-0.043425,0.2,0.6,0.6,0.6,0.6,0.6,0.6
1,0.148886,-0.051114,0.2,0.6,0.6,0.6,0.6,0.6,0.6
2,0.154945,-0.045055,0.2,0.6,0.6,0.6,0.6,0.6,0.6
3,0.157133,-0.042867,0.2,0.6,0.6,0.6,0.6,0.6,0.6
4,0.158073,-0.041927,0.2,0.6,0.6,0.6,0.6,0.6,0.6
5,0.151502,-0.048498,0.2,0.6,0.6,0.6,0.6,0.6,0.6
6,0.149723,-0.050277,0.2,0.6,0.6,0.6,0.6,0.6,0.6
7,0.146208,-0.053792,0.2,0.6,0.6,0.6,0.6,0.6,0.6
8,0.1514,-0.0486,0.2,0.6,0.6,0.6,0.6,0.6,0.6
9,0.148662,-0.051338,0.2,0.6,0.6,0.6,0.6,0.6,0.6
10,0.153963,-0.046037,0.2,0.6,0.6,0.6,0.6,0.6,0.6
11,0.152716,-0.047284,0.2,0.6,0.6,0.6,0.6,0.6,0.6
12,0.148546,-0.051454,0.2,0.6,0.6,0.6,0.6,0.6,0.6
13,0.15782,-0.04218,0.2,0.6,0.6,0.6,0.6,0.6,0.6
14,0.152606,-0.047394,0.2,0.6,0.6,0.6,0.6,0.6,0.6
15,0.146905,-0.053095,0.2,0.6,0.6,0.6,0.6,0.6,0.6
16,0.156793,-0.043207,0.2,0.6,0.6,0.6,0.6,0.6,0.6
17,0.146293,-0.053707,0.2,0.6,0.6,0.6,0.6,0.6,0.6
18,0.152523,-0.047477,0.2,0.6,0.6,0.6,0.6,0.6,0.6
19,0.155907,-0.044093,0.2,0.6,0.6,0.6,0.6,0.6,0.6
20,0.151184,-0.048816,0.2,0.6,0.6,0.6,0.6,0.6,0.6
21,0.151633,-0.048367,0.2,0.6,0.6,0.6,0.6,0.6,0.6
22,0.150658,-0.049342,0.2,0.6,0.6,0.6,0.6,0.6,0.6
23,0.155258,-0.044742,0.2,0.6,0.6,0.6,0.6,0.6,0.6
24,0.155746,-0.044254,0.2,0.6,0.6,0.6,0.6,0.6,0.6
25,0.157492,-0.042508,0.2,0.6,0.6,0.6,0.6,0.6,0.6
26,0.155201,-0.044799,0.2,0.6,0.6,0.6,0.6,0.6,0.6
27,0.15338,-0.04662,0.2,0.6,0.6,0.6,0.6,0.6,0.6
28,0.155106,-0.044894,0.2,0.6,0.6,0.6,0.6,0.6,0.6
29,0.152332,-0.047668,0.2,0.6,0.6,0.6,0.6,0.6,0.6
