step,D_act,excess_delay,t_0,eta_0,eta_1,eta_2,eta_3,eta_4,eta_5
0,0.092382,-0.107618,0.2,0.2,0.2,0.2,0.2,0.2,0.2
1,0.089455,-0.110545,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2,0.09039,-0.10961,0.2,0.2,0.2,0.2,0.2,0.2,0.2
3,0.087878,-0.112122,0.2,0.2,0.2,0.2,0.2,0.2,0.2
4,0.08766,-0.11234,0.2,0.2,0.2,0.2,0.2,0.2,0.2
5,0.092281,-0.107719,0.2,0.2,0.2,0.2,0.2,0.2,0.2
6,0.090846,-0.109154,0.2,0.2,0.2,0.2,0.2,0.2,0.2
7,0.093053,-0.106947,0.2,0.2,0.2,0.2,0.2,0.2,0.2
8,0.091026,-0.108974,0.2,0.2,0.2,0.2,0.2,0.2,0.2
9,0.087889,-0.112111,0.2,0.2,0.2,0.2,0.2,0.2,0.2
10,0.091359,-0.108641,0.2,0.2,0.2,0.2,0.2,0.2,0.2
11,0.086664,-0.113336,0.2,0.2,0.2,0.2,0.2,0.2,0.2
12,0.087029,-0.112971,0.2,0.2,0.2,0.2,0.2,0.2,0.2
13,0.088972,-0.111028,0.2,0.2,0.2,0.2,0.2,0.2,0.2
14,0.093057,-0.106943,0.2,0.2,0.2,0.2,0.2,0.2,0.2
15,0.0886,-0.1114,0.2,0.2,0.2,0.2,0.2,0.2,0.2
16,0.091567,-0.108433,0.2,0.2,0.2,0.2,0.2,0.2,0.2
17,0.086838,-0.113162,0.2,0.2,0.2,0.2,0.2,0.2,0.2
18,0.088354,-0.111646,0.2,0.2,0.2,0.2,0.2,0.2,0.2
19,0.089948,-0.110052,0.2,0.2,0.2,0.2,0.2,0.2,0.2
20,0.087776,-0.112224,0.2,0.2,0.2,0.2,0.2,0.2,0.2
21,0.092476,-0.107524,0.2,0.2,0.2,0.2,0.2,0.2,0.2
22,0.091759,-0.108241,0.2,0.2,0.2,0.2,0.2,0.2,0.2
23,0.087305,-0.112695,0.2,0.2,0.2,0.2,0.2,0.2,0.2
24,0.091038,-0.108962,0.2,0.2,0.2,0.2,0.2,0.2,0.2
25,0.086707,-0.113293,0.2,0.2,0.2,0.2,0.2,0.2,0.2
26,0.087275,-0.112725,0.2,0.2,0.2,0.2,0.2,0.2,0.2
27,0.093681,-0.106319,0.2,0.2,0.2,0.2,0.2,0.2,0.2
28,0.089185,-0.110815,0.2,0.2,0.2,0.2,0.2,0.2,0.2
29,0.093575,-0.106425,0.2,0.2,0.2,0.2,0.2,0.2,0.2
